category,s,n,mean,se,direction,norm
GPCR,1,846,1.847530310432852,0.011030200072634113,xy,L_xy
GPCR,2,845,1.886234930800099,0.011298745778256413,xy,L_xy
GPCR,4,845,1.9445466614769205,0.01259132581651858,xy,L_xy
GPCR,8,845,2.0170956483121283,0.014668307257230784,xy,L_xy
GPCR,16,845,2.095600295951025,0.01784069787592656,xy,L_xy
GPCR,32,845,2.1576176019547555,0.02109782765985104,xy,L_xy
GPCR,64,845,2.208294017515352,0.023896110272046103,xy,L_xy
large,1,490,1.717347622207491,0.015555470741691968,xy,L_xy
large,2,490,1.7700697856006058,0.015700367936072164,xy,L_xy
large,4,489,1.8509355295614203,0.017257248112187647,xy,L_xy
large,8,488,1.9587314080630729,0.02151406886215482,xy,L_xy
large,16,487,2.0710368109295376,0.028144920208151875,xy,L_xy
large,32,487,2.1332104909363188,0.03131268163784342,xy,L_xy
large,64,488,2.1780696026069117,0.0325292976239669,xy,L_xy
medium,1,824,1.764314594976897,0.017858620334063643,xy,L_xy
medium,2,823,1.8187797654782543,0.017036597261386465,xy,L_xy
medium,4,821,1.8904863164427341,0.017392940224837984,xy,L_xy
medium,8,822,1.9853913843425954,0.019403641694251753,xy,L_xy
medium,16,822,2.0740633303295244,0.02202690376540135,xy,L_xy
medium,32,822,2.144336997075037,0.023622908241091797,xy,L_xy
medium,64,823,2.208792599557253,0.02631905690541014,xy,L_xy
single_pass,1,1196,1.4776984072432167,0.011926564920961563,xy,L_xy
single_pass,2,1194,1.587430900459932,0.012761165789819055,xy,L_xy
single_pass,4,1189,1.731764749692721,0.014625663259520024,xy,L_xy
single_pass,8,1188,1.8717526491367407,0.017155982196373445,xy,L_xy
single_pass,16,1183,1.9813964042995542,0.020092676973792356,xy,L_xy
single_pass,32,1183,2.062064123431867,0.021580726933338488,xy,L_xy
single_pass,64,1184,2.1127137409990793,0.022408747868672033,xy,L_xy
GPCR,1,841,1.6526736486942186,0.0200903820292627,z,L_z
GPCR,2,840,1.53626261807985,0.01915019655873891,z,L_z
GPCR,4,841,1.4484596136393477,0.018102412997730407,z,L_z
GPCR,8,841,1.3933434863942418,0.017289811085501424,z,L_z
GPCR,16,844,1.3728665688885564,0.018085489141400107,z,L_z
GPCR,32,844,1.3350272954743876,0.016141001739866507,z,L_z
GPCR,64,845,1.3215979585020274,0.015615978150088763,z,L_z
large,1,484,1.6740350199783824,0.02446422118028213,z,L_z
large,2,485,1.585024029942765,0.02150034886231573,z,L_z
large,4,489,1.5225376999626041,0.019462771181147833,z,L_z
large,8,489,1.5062628115893855,0.021584895791798134,z,L_z
large,16,489,1.497234607772898,0.02182809450777996,z,L_z
large,32,489,1.4983933086644794,0.023033408264820227,z,L_z
large,64,490,1.4969863888414738,0.023538154975269527,z,L_z
medium,1,807,1.6790508781787912,0.02551228905910719,z,L_z
medium,2,809,1.558982653908595,0.02381823764889517,z,L_z
medium,4,815,1.4175202360581416,0.020600360932377184,z,L_z
medium,8,822,1.3056468395096061,0.0187876215018376,z,L_z
medium,16,824,1.2239975265873353,0.01712548634761708,z,L_z
medium,32,825,1.1877156761769705,0.016959417270900834,z,L_z
medium,64,826,1.1622394357739776,0.016582812278873916,z,L_z
single_pass,1,1187,1.4973565757667844,0.01780400155892817,z,L_z
single_pass,2,1188,1.430110094653527,0.016858000115823366,z,L_z
single_pass,4,1192,1.391396395850283,0.017972139596061375,z,L_z
single_pass,8,1194,1.3533319232910288,0.017852564406343436,z,L_z
single_pass,16,1195,1.3270422394677868,0.017942209291884868,z,L_z
single_pass,32,1195,1.3139807276830762,0.018161786908716098,z,L_z
single_pass,64,1196,1.3195100290141206,0.018932955947478413,z,L_z
