Index,Protein_ID,NUM_TM,Category,pLDDT_mean_CA,pLDDT_mean_all
1,A0A075B734,6,medium transmembrane,81.5319,81.6185
2,A0A087WTH1,2,medium transmembrane,69.2953,69.3417
3,A0A087WTH5,3,medium transmembrane,68.4067,68.6291
4,A0A087X1C5,1,single-pass transmembrane,91.0852,91.4315
5,A0A087X1L8,1,single-pass transmembrane,74.1714,74.1736
6,A0A096LP01,1,single-pass transmembrane,71.6659,72.5208
7,A0A096LPK9,7,GPCR transmembrane,84.7448,84.7371
8,A0A0B4J2F0,1,single-pass transmembrane,84.8769,84.224
9,A0A0C4DGP1,2,medium transmembrane,67.1782,66.9664
10,A0A0D9SF12,2,medium transmembrane,58.9177,59.5062
11,A0A0G2JKD1,1,single-pass transmembrane,76.8287,75.6236
12,A0A0G2JLG4,2,medium transmembrane,87.0572,87.2031
13,A0A0G2JLM5,1,single-pass transmembrane,78.3734,78.7853
14,A0A0G2JLQ3,1,single-pass transmembrane,79.5461,79.8066
15,A0A0G2JMH6,1,single-pass transmembrane,89.453,89.9354
16,A0A0G2JMP0,7,GPCR transmembrane,85.9378,85.9204
17,A0A0G2JN68,1,single-pass transmembrane,72.459,72.5493
18,A0A0G2JNF4,1,single-pass transmembrane,75.8765,75.9846
19,A0A0G2JNG1,1,single-pass transmembrane,79.6918,79.9603
20,A0A0G2JNH3,7,GPCR transmembrane,85.3214,85.3196
21,A0A0G2JPC4,1,single-pass transmembrane,72.1839,72.2337
22,A0A0G2JQ47,1,single-pass transmembrane,81.4737,81.7646
23,A0A0K2S4Q6,1,single-pass transmembrane,72.8477,73.4753
24,A0A0U1RQS6,2,medium transmembrane,57.7863,57.8386
25,A0A0U1RRA0,1,single-pass transmembrane,72.6006,71.2194
26,A0A0U1RRN3,1,single-pass transmembrane,68.2822,67.9527
27,A0A0X1KG70,7,GPCR transmembrane,88.5899,88.627
28,A0A126GWB0,7,GPCR transmembrane,85.1678,85.0832
29,A0A126GWI2,7,GPCR transmembrane,84.0285,84.0046
30,A0A140T8X8,1,single-pass transmembrane,73.5525,72.7351
31,A0A191URJ7,1,single-pass transmembrane,74.5541,74.7305
32,A0A1B0GTG8,1,single-pass transmembrane,88.0406,87.3417
33,A0A1B0GTI8,4,medium transmembrane,82.8053,82.7231
34,A0A1B0GTK4,1,single-pass transmembrane,64.6127,65.2364
35,A0A1B0GTQ1,1,single-pass transmembrane,87.5125,87.7288
36,A0A1B0GTU2,1,single-pass transmembrane,80.5063,80.0483
37,A0A1B0GTW7,1,single-pass transmembrane,73.2755,73.5495
38,A0A1B0GTY4,2,medium transmembrane,65.0303,65.5945
39,A0A1B0GU29,1,single-pass transmembrane,63.5118,64.2336
40,A0A1B0GUA5,1,single-pass transmembrane,59.7583,61.3414
